  Candidates  Preferences   Permutations
          14             1            14
          14             2           182
          14             3          2184
          14             4         24024
          14             5        240240
          14             6       2162160
          14             7      17297280
          14             8     121080960
          14             9     726485760
          14            10    3632428800
          14            11   14529715200
          14            12   43589145600
          14            13   87178291200
          14            14   87178291200
